slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs,aggregated,agg_files
setting-agert,Trellix Customer Guide,Support,trellix-customer-guide/setting-agert.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",178,75,58%,8,7,,
manual-scale,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/manual-scale.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",196,96,51%,9,4,,
cap-nhat-mot-credential,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/cap-nhat-mot-credential.md,0,3,0,3,"HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",196,96,51%,15,13,,
them-worker-group,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/them-worker-group.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",211,125,41%,10,5,,
proxy-ip,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/proxy-ip.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",145,70,52%,13,7,,
refresh-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/refresh-robot-account.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",128,57,55%,9,4,,
tao-firewall-policy,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/tao-firewall-policy.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",160,89,44%,8,5,,
restore-file-and-folder-for-linux,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/restore-file-and-folder-for-linux.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",176,105,40%,11,9,,
create-token,Cloud Server,FPT Cloud Server,cloud-server/create-token.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",119,49,59%,9,3,,
static-route,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/static-route.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",120,52,57%,11,8,,
tag-va-push-image-len-fpt-container-registry,FPT Container Registry,FPT Container,fpt-container-registry/tag-va-push-image-len-fpt-container-registry.md,0,4,0,4,"FEWER_IMAGES, NO_CODE_BLOCKS, NO_TABLES, WORD_COUNT_LOW",122,59,52%,7,2,,
