lang,file,line,ref
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,16,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-102-a80b1410.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-103-a87a4c8d.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,20,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-104-1-62f6e8ec.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,22,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-105-090b32cf.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,25,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-106-1-50c627a0.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,27,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-107-1-e88cf9aa.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-81-10-63596ac8.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-82-dd7296d1.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,15,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-83-1db42df8.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-84-84d7216b.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,19,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-85-10-7c332082.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,22,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-88-10-5fb52a92.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,24,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-89-10-45182026.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,26,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-90-2bd3b51a.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,28,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-91-10-e0f90092.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-blades.md,29,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-92-10-c5d36db4.png
