slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
khoi-tao-mot-alert-moi-threat-alert,FPT Cloud Guard,cloud-guard/khoi-tao-mot-alert-moi-threat-alert.md,MEDIUM,333,227,32%,,
guide-asset-by-team,FPT AppSec,fpt-appsec/guide-asset-by-team.md,MEDIUM,207,140,32%,,
guide-harbor,FPT AppSec,fpt-appsec/guide-harbor.md,MEDIUM,451,305,32%,,
initial-setup,Tagging,affinity-anti-affinity/initial-setup.md,MEDIUM,123,85,31%,,
accountpassword-qua-FCDClient-moi,FPT Cloud Desktop,fpt-cloud-desktop/accountpassword-qua-FCDClient-moi.md,MEDIUM,719,493,31%,,
hpc-snapshot-backup,Cloud Server,cloud-server/hpc-snapshot-backup.md,MEDIUM,186,129,31%,,
hpc-clone-image,Cloud Server,cloud-server/hpc-clone-image.md,MEDIUM,94,65,31%,,
delete-instance-schedule,Cloud Server,auto-schedule-to-on-off-instance/delete-instance-schedule.md,MEDIUM,115,79,31%,,
tutorials-bucket,FPT Object Storage,fpt-object-storage/tutorials-bucket.md,MEDIUM,529,364,31%,,
khoi-tao-load-balancer,Load Balancer,load-balancer/khoi-tao-load-balancer.md,MEDIUM,852,591,31%,,
them-external-member,Load Balancer,load-balancer/them-external-member.md,MEDIUM,287,197,31%,,
gpu-la-gi,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/gpu-la-gi.md,MEDIUM,320,220,31%,,
cau-hinh-lap-lich-chay-retention-rule,FPT Container Registry,fpt-container-registry/cau-hinh-lap-lich-chay-retention-rule.md,MEDIUM,182,125,31%,,
xoa-target,FPT Cloud VA,fpt-va/xoa-target.md,MEDIUM,78,54,31%,,
monitor-infrastructure-platform,FPT Cloud Monitoring,fpt-cloud-monitoring/monitor-infrastructure-platform.md,MEDIUM,410,281,31%,,
xem-thong-tin-chi-tiet-jenkins-CI-instance,FPT Jenkins CI,fpt-jenkins-ci/xem-thong-tin-chi-tiet-jenkins-CI-instance.md,MEDIUM,120,83,31%,,
cap-nhat-thong-tin-cau-hinh-agent,FPT Jenkins CI,fpt-jenkins-ci/cap-nhat-thong-tin-cau-hinh-agent.md,MEDIUM,99,68,31%,,
view-detail-instance,Cloud Server,auto-schedule-to-on-off-instance/view-detail-instance.md,MEDIUM,119,83,30%,,
question-,Cloud Server,cloud-server/question-.md,MEDIUM,113,79,30%,,
tinh-nang-benchmark-cluster,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/tinh-nang-benchmark-cluster.md,MEDIUM,369,258,30%,,
aspm_v1.3.0,FPT AppSec,fpt-appsec/aspm_v1.3.0.md,MEDIUM,463,322,30%,,
