slug,module,web_words,doc_words,content_status,images_status,web_images,doc_images,headings_match_pct,tables_status,web_tables,doc_tables,aggregated,local_files,missing_headings
tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao,Cloud Server,368,361,full,full,7,7,100,n/a,0,0,False,cloud-server/tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao.md,
tutorials-xem-va-cap-nhat-gia-tri-secret,FPT Key Vault,0,73,full,full,3,3,100,n/a,0,0,False,fpt-key-vault/tutorials-xem-va-cap-nhat-gia-tri-secret.md,
tutorials-xoa-may-ao,Cloud Server,93,106,full,full,5,5,100,n/a,0,0,False,cloud-server/tutorials-xoa-may-ao.md,
tutorials-xoa-policy,FPT Key Vault,0,125,full,full,3,3,100,n/a,0,0,False,fpt-key-vault/tutorials-xoa-policy.md,
tutorials-xoa-secret,FPT Key Vault,0,121,full,full,3,3,100,n/a,0,0,False,fpt-key-vault/tutorials-xoa-secret.md,
tutorials-xoa-secret-engine,FPT Key Vault,0,134,full,full,3,3,100,n/a,0,0,False,fpt-key-vault/tutorials-xoa-secret-engine.md,
tutorials-xoa-template,Cloud Server,0,59,full,full,1,1,100,n/a,0,0,False,cloud-server/tutorials-xoa-template.md,
update-admin-password,FPT ArgoCD,25,61,full,full,3,3,100,n/a,0,0,False,fpt-argocd/update-admin-password.md,
update-cau-hinh-oidc,FPT ArgoCD,20,49,full,full,3,3,100,n/a,0,0,False,fpt-argocd/update-cau-hinh-oidc.md,
update-hotfix,CheckPoint - FPT NGFW,77,106,full,full,5,5,100,n/a,0,0,False,checkpoint-fpt-ngfw/update-hotfix.md,
update-target,FPT Cloud VA,34,48,full,full,2,2,100,n/a,0,0,False,fpt-va/update-target.md,
upgrade-version,Managed - FPT Database Engines,285,441,full,full,2,2,100,n/a,0,0,False,managed-fpt-database-engine/upgrade-version.md,
url-filter-settings,FPT Cloud WAPPLES,0,20,full,full,1,1,100,n/a,0,0,False,fpt-cloud-wapples/url-filter-settings.md,
use-sso,SSO - Single sign-on,0,123,full,full,4,4,100,n/a,0,0,False,sso-single-sign-on/use-sso.md,
user-defined-pattern,FPT Cloud WAPPLES,0,6,full,full,1,1,100,n/a,0,0,False,fpt-cloud-wapples/user-defined-pattern.md,
user-group-management,Managed - FPT Database Engines,502,667,full,full,1,1,100,n/a,0,0,False,managed-fpt-database-engines-new/user-group-management.md,
user-guide-tab,FPT Cloud Monitoring,47,72,full,full,1,1,100,n/a,0,0,False,fpt-cloud-monitoring/user-guide-tab.md,
user-management-tab,FPT Cloud Monitoring,56,87,full,full,1,1,100,n/a,0,0,False,fpt-cloud-monitoring/user-management-tab.md,
userguide-airflow,FPT Data Platform,49,67,full,n/a,0,0,100,n/a,0,0,False,fpt-data-platform/orchestration/index.md,
vertical-scaling,Managed - FPT Database Engines,1225,1045,full,full,5,5,0,n/a,0,1,False,managed-fpt-database-engine/vertical-scaling.md,h3: Quyền cần thiết:; h3: 1\. Kích hoạt dịch vụ Vertical Scaling; h4: Điều kiện tiên quyết:; h4: Bước 1: Truy cập chức năng Vertical Scaling; h4: Bước 2: Kích hoạt dịch vụ; h3: 2\. Thiết lập mở rộng tài nguyên compute; h3: 3\. Thiết lập mở rộng Storage
vgpu-for-container,Managed GPU Cluster (Kubernetes),1038,1100,full,full,5,5,100,n/a,0,1,False,fpt-managed-gpu-cluster/vgpu-for-container.md,
view-VPN-detail-information,VPN Site-to-Site,73,114,full,full,3,3,100,n/a,0,0,False,vpn-site-to-site/view-VPN-detail-information.md,
view-bill-charges-by-resource,Bills,107,225,full,full,7,7,100,n/a,0,0,False,billing/view-bill-charges-by-resource.md,
view-bill-charges-by-service,Bills,47,146,full,full,3,3,100,n/a,0,0,False,billing/view-bill-charges-by-service.md,
view-billing-by-monthly-reconciliation,FPT Cloud Portal – Pay As You Go,31,84,full,full,1,1,100,n/a,0,0,False,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/view-billing-by-monthly-reconciliation.md,
view-bills,Bills,190,283,full,full,1,1,100,n/a,0,0,False,billing/view-bills.md,
view-db-list,Managed - FPT Database Engines,440,435,full,full,2,2,100,n/a,0,3,False,managed-fpt-database-engine/view-db-list.md,
view-detail,FPT Reporting,229,218,full,full,2,2,100,n/a,0,1,False,reporting/view-detail.md,
view-detail-instance,Cloud Server,107,120,full,full,3,3,100,n/a,0,0,False,cloud-server/view-detail-instance.md,
view-log,Trellix Customer Guide,8,257,full,full,7,7,100,n/a,0,0,False,trellix-customer-guide/view-log.md,
view-performed-transactions,FPT Cloud Portal – Pay As You Go,0,45,full,full,1,1,100,n/a,0,0,False,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/view-performed-transactions.md,
view-request-resource,Request Resource,47,130,full,full,3,3,100,n/a,0,0,False,end-user-request-resource/view-request-resource.md,
viewschedule-snapshotVM,Cloud Server,42,36,full,full,2,2,100,n/a,0,0,False,cloud-server/viewschedule-snapshotVM.md,
viewschedule-snapshotstorage,Cloud Server,42,36,full,full,2,2,100,n/a,0,0,False,cloud-server/viewschedule-snapshotstorage.md,
vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,447,425,full,n/a,0,0,60,n/a,0,0,False,file-storage-high-performance/vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,h2: **1\. Tổng quan**; h2: **2\. Hướng dẫn sử dụng**
web-access-management,FPT Cloud WAPPLES,0,11,full,full,1,1,100,n/a,0,0,False,fpt-cloud-wapples/web-access-management.md,
website-logs,FPT Cloud WAPPLES,11,38,full,full,1,1,100,n/a,0,0,False,fpt-cloud-wapples/website-logs.md,
workspace-crasset,FPT AppSec,884,869,full,full,4,4,54,n/a,0,0,False,fpt-appsec/workspace-crasset.md,h2: 1\. Add Asset; h2: 2\. Xem thông tin tổng quan của Assets; h2: 3\. Xem thông tin các Issues; h2: 4\. Rescan asset; h2: 5\. Disable/Enable Asset; h2: 6\. Delete Asset
workspace-scmasset,FPT AppSec,1609,1596,full,full,24,24,65,n/a,0,0,False,fpt-appsec/workspace-scmasset.md,h2: 1\. Add Asset; h2: 2\. Xem thông tin tổng quan của Assets; h2: 3\. Xem thông tin của issues; h2: 4\. Rescan asset; h2: 5\. Disable/Enable Asset; h2: 6\. Delete Asset
x-forwarder-for,FPT Cloud WAPPLES,14,42,full,full,1,1,100,n/a,0,0,False,fpt-cloud-wapples/x-forwarder-for.md,
xay-dung-mot-website-tinh-bang-fpt-object-storage,FPT Object Storage,459,459,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/xay-dung-mot-website-tinh-bang-fpt-object-storage.md,
xem%20chi%20tiet%20role,IAM,46,43,full,full,1,1,100,n/a,0,0,False,iam/xem chi tiet role.md,
xem%20chi%20tiet%20user%20group,IAM,32,40,full,full,1,1,100,n/a,0,0,False,iam/xem chi tiet user group.md,
xem%20danh%20sach%20role,IAM,75,92,full,full,1,1,100,n/a,0,0,False,iam/xem danh sach role.md,
xem%20danh%20sach%20user%20group,IAM,58,71,full,full,1,1,100,n/a,0,0,False,iam/xem%20danh%20sach%20user%20group.md,
xem%20thong%20tin%20chi%20tiet%20ssl%20certificate,Load Balancer,26,55,full,full,2,2,100,n/a,0,0,False,load-balancer/xem thong tin chi tiet ssl certificate.md,
xem-chi-tiet-ket-qua-quet,FPT Cloud VA,91,105,full,full,2,2,100,n/a,0,0,False,fpt-va/xem-chi-tiet-ket-qua-quet.md,
xem-chi-tiet-workspace,FPT Cloud Monitoring,25,55,full,full,1,1,100,n/a,0,0,False,fpt-cloud-monitoring/xem-chi-tiet-workspace.md,
xem-danh-sach-kubernetes-cluster-da-tao,Dedicated - FPT Kubernetes Engine,65,56,full,full,1,1,100,n/a,0,0,False,dedicated-fpt-kubernetes-engine/xem-danh-sach-kubernetes-cluster-da-tao.md,
xem-danh-sach-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),237,251,full,full,4,4,100,n/a,0,0,False,fpt-managed-gpu-cluster/xem-danh-sach-managed-gpu-cluster.md,
xem-danh-sach-repositories,FPT Container Registry,13,54,full,full,1,1,100,n/a,0,0,False,fpt-container-registry/xem-danh-sach-repositories.md,
