slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs
multi-nodes-example,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/multi-nodes-example.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1574,817,48%,2,0
cau-hinh-o-dia-cho-may-ao-chay-windows,Cloud Server,FPT Cloud Server,cloud-server/cau-hinh-o-dia-cho-may-ao-chay-windows.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",905,154,83%,17,7
create-instance-group,Cloud Server,FPT Cloud Server,affinity-anti-affinity/create-instance-group.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",822,91,89%,10,3
create-db,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/create-db.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",2145,1437,33%,10,2
tutorials-thay-doi-thong-tin-cau-hinh-may-chu,Cloud Server,FPT Cloud Server,cloud-server/tutorials-thay-doi-thong-tin-cau-hinh-may-chu.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",847,151,82%,10,5
tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao,Cloud Server,FPT Cloud Server,cloud-server/tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",862,183,79%,12,5
tutorials-ket-noi-vao-may-ao-windows,Cloud Server,FPT Cloud Server,cloud-server/tutorials-ket-noi-vao-may-ao-windows.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",868,192,78%,10,5
db-connect,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-connect.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",2076,1417,32%,11,3
lock-unlock-instance-deletion,Cloud Server,FPT Cloud Server,cloud-server/lock-unlock-instance-deletion.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",771,119,85%,9,4
hpc-rest-machine,Cloud Server,FPT Cloud Server,cloud-server/hpc-rest-machine.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",775,128,83%,6,1
createschedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/createschedule-snapshotstorage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",712,88,88%,8,3
quick-starts-khoi-dong-lai-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quick-starts-khoi-dong-lai-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",679,56,92%,7,2
create-schedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/create-schedule-snapshotVM.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",712,97,86%,8,3
nat-instance,Cloud Server,FPT Cloud Server,cloud-server/nat-instance.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",725,114,84%,21,4
add-instance-instance-group,Cloud Server,FPT Cloud Server,affinity-anti-affinity/add-instance-instance-group.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",665,66,90%,7,2
khoi-tao-listener,Load Balancer,FPT Network,load-balancer/khoi-tao-listener.md,1,3,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",989,397,60%,4,0
workspace-crasset,FPT AppSec,FPT Security Platform,fpt-appsec/workspace-crasset.md,1,4,0,5,"FEWER_IMAGES, HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1020,429,58%,7,4
tai-len-custom-image,Cloud Server,FPT Cloud Server,cloud-server/tai-len-custom-image.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",739,149,80%,10,5
create-vm-iso,Cloud Server,FPT Cloud Server,cloud-server/create-vm-iso.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",784,207,74%,6,1
delete-instance-group,Cloud Server,FPT Cloud Server,affinity-anti-affinity/delete-instance-group.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",636,59,91%,7,2
hpc-schedule-shutdown,Cloud Server,FPT Cloud Server,cloud-server/hpc-schedule-shutdown.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",650,77,88%,6,1
gan-storage-disk-vao-may-ao,Cloud Server,FPT Cloud Server,cloud-server/gan-storage-disk-vao-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",667,95,86%,7,2
deleteschedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/deleteschedule-snapshotVM.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",602,31,95%,7,2
block-storage,Cloud Server,FPT Cloud Server,cloud-server/block-storage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",662,93,86%,7,2
deleteschedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/deleteschedule-snapshotstorage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",597,32,95%,7,2
vertical-scaling,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/vertical-scaling.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",1556,996,36%,13,5
quick-starts-xoa-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quick-starts-xoa-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",648,92,86%,10,5
create-new-instance,Cloud Server,FPT Cloud Server,auto-schedule-to-on-off-instance/create-new-instance.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",726,170,77%,8,3
view-detail-instance,Cloud Server,FPT Cloud Server,auto-schedule-to-on-off-instance/view-detail-instance.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",637,83,87%,8,3
delete-instance-schedule,Cloud Server,FPT Cloud Server,auto-schedule-to-on-off-instance/delete-instance-schedule.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",633,79,88%,7,2
quick-starts-tatbat-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quick-starts-tatbat-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",645,93,86%,6,1
tutorials-quan-ly-template-duoc-tao-tu-may-ao,Cloud Server,FPT Cloud Server,cloud-server/tutorials-quan-ly-template-duoc-tao-tu-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",611,59,90%,7,2
viewschedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/viewschedule-snapshotVM.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",580,28,95%,7,2
detach-schedule-to-instance,Cloud Server,FPT Cloud Server,auto-schedule-to-on-off-instance/detach-schedule-to-instance.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",641,90,86%,6,1
viewschedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/viewschedule-snapshotstorage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",580,30,95%,7,2
editschedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/editschedule-snapshotVM.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",574,26,95%,7,2
editschedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/editschedule-snapshotstorage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",574,27,95%,7,2
create-token,Cloud Server,FPT Cloud Server,cloud-server/create-token.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",637,97,85%,9,3
attach-schedule-to-instance,Cloud Server,FPT Cloud Server,auto-schedule-to-on-off-instance/attach-schedule-to-instance.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",592,53,91%,7,2
khoi-tao-server-pool,Load Balancer,FPT Network,load-balancer/khoi-tao-server-pool.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",1010,473,53%,4,0
cau-hinh-channel-de-thuc-hien-gui-thong-bao,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-channel-de-thuc-hien-gui-thong-bao.md,1,2,0,3,"HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",646,110,83%,29,27
backup-mgmt,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/backup-mgmt.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1111,575,48%,12,4
xoa-storage-disk,Cloud Server,FPT Cloud Server,cloud-server/xoa-storage-disk.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",604,72,88%,7,2
go-storage-disk-khoi-may-ao,Cloud Server,FPT Cloud Server,cloud-server/go-storage-disk-khoi-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",593,64,89%,7,2
clone-instance,Cloud Server,FPT Cloud Server,cloud-server/clone-instance.md,1,3,0,4,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",726,198,73%,9,4
remove-the-network-card-from-the-virtual-machine,Cloud Server,FPT Cloud Server,cloud-server/remove-the-network-card-from-the-virtual-machine.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",610,82,87%,8,3
tutorials-tao-instance-tu-template,Cloud Server,FPT Cloud Server,cloud-server/tutorials-tao-instance-tu-template.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",614,88,86%,7,2
iam,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/iam.md,1,1,2,4,"FEWER_TABLES, MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",1037,512,51%,8,0
mfke-faqs,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/mfke-faqs.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1250,726,42%,5,0
tutorials-khoi-tao-template-tu-may-ao,Cloud Server,FPT Cloud Server,cloud-server/tutorials-khoi-tao-template-tu-may-ao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",585,65,89%,8,3
tao-storage-disk,Cloud Server,FPT Cloud Server,cloud-server/tao-storage-disk.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",611,98,84%,8,3
trien-khai-ung-dung-tren-worker-pool,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/trien-khai-ung-dung-tren-worker-pool.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",793,281,65%,12,7
xoa-custom-image,Cloud Server,FPT Cloud Server,cloud-server/xoa-custom-image.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",575,65,89%,7,2
edit-storage-disk,Cloud Server,FPT Cloud Server,cloud-server/edit-storage-disk.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",610,105,83%,7,2
resource,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/resource.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1106,604,45%,11,3
finetune-llm-models,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/finetune-llm-models.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",975,479,51%,2,0
revoke-token,Cloud Server,FPT Cloud Server,cloud-server/revoke-token.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",547,53,90%,8,3
single-gpu-example,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/single-gpu-example.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",879,387,56%,2,0
gioi-thieu-chung-ve-quy-trinh-quan-ly-version,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/gioi-thieu-chung-ve-quy-trinh-quan-ly-version.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",909,429,53%,5,0
tutorials-xoa-template,Cloud Server,FPT Cloud Server,cloud-server/tutorials-xoa-template.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",532,55,90%,6,1
report-export,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/report-export.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",1351,882,35%,12,4
connect-strongswan,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-strongswan.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",886,418,53%,10,4
multi-gpus-example,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/multi-gpus-example.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",866,419,52%,2,0
backup-job-mgmt,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/backup-job-mgmt.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1121,682,39%,9,1
on-off-pitr,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/on-off-pitr.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",749,311,58%,12,4
notification,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/notification.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1226,792,35%,12,7
snapshot-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/snapshot-persistent-volume-tren-k8s.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",685,254,63%,6,1
connect-checkpoint-r8120,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-checkpoint-r8120.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1148,722,37%,32,26
tinh-nang-benchmark-cluster,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tinh-nang-benchmark-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",683,258,62%,8,3
chinh-sua-listener,Load Balancer,FPT Network,load-balancer/chinh-sua-listener.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",876,457,48%,4,0
thay-doi-cau-hinh-flavor-cua-worker-pool,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/thay-doi-cau-hinh-flavor-cua-worker-pool.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",778,377,52%,5,0
trien-khai-ung-dung-su-dung-gpu-tren-kubernetes,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/trien-khai-ung-dung-su-dung-gpu-tren-kubernetes.md,1,2,1,4,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",574,176,69%,2,1
push-s3,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/push-s3.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1077,680,37%,14,6
scale-in-chi-dinh-node,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/scale-in-chi-dinh-node.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",603,207,66%,10,5
tinh-nang-dat-lich-hibernate-wake-up,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tinh-nang-dat-lich-hibernate-wake-up.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",605,210,65%,15,10
parameter,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/parameter.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",781,396,49%,10,2
restore-db,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/restore-db.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",935,557,40%,11,3
japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,FPT Storage,file-storage-high-performance/japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,1,3,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",936,562,40%,4,0
db-operation,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-operation.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",698,326,53%,9,1
service-type-kb-layer7-lbv2,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/service-type-kb-layer7-lbv2.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",526,159,70%,8,3
db-proxy,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-proxy.md,1,1,0,2,"FEWER_IMAGES, MISSING_HEADINGS",1231,864,30%,12,4
connect-fci-aws-transitgw,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-fci-aws-transitgw.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES",1205,849,30%,28,22
chuyen-worker-group-base,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/chuyen-worker-group-base.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",554,202,64%,10,5
xem-danh-sach-kubernetes-cluster-da-tao,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/xem-danh-sach-kubernetes-cluster-da-tao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",392,49,88%,6,1
bat-tat-node-auto-repair,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/bat-tat-node-auto-repair.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",558,218,61%,10,5
cau-hinh-oidc-config,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-oidc-config.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",371,32,91%,6,4
truy-cap-thong-tin-chi-tiet-cua-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/truy-cap-thong-tin-chi-tiet-cua-cluster.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",554,218,61%,8,7
thay-doi-cluster-endponit-access,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/thay-doi-cluster-endponit-access.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",539,203,62%,15,10
register-account,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/register-account.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",623,290,53%,9,1
quan-ly-tag-retention-rule,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-tag-retention-rule.md,1,3,0,4,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",506,178,65%,14,9
thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",349,22,94%,11,9
nang-cap-k8s-version,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/nang-cap-k8s-version.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",395,69,83%,8,4
them-worker-group,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/them-worker-group.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",525,202,62%,10,5
tinh-nang-rotate-kubeconfig,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tinh-nang-rotate-kubeconfig.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",383,61,84%,8,3
thay-doi-cau-hinh-internal-subnet-load-balancer,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/thay-doi-cau-hinh-internal-subnet-load-balancer.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",432,110,75%,8,3
khoi-tao-canh-bao-load-balancer,FPT Cloud Guard,FPT Monitoring,cloud-guard/khoi-tao-canh-bao-load-balancer.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",696,375,46%,8,3
xoa-kubernetes-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/xoa-kubernetes-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",377,57,85%,8,3
connect-fci-vmware,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-fci-vmware.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",689,370,46%,19,13
chinh-sua-cau-hinh-health-check,Load Balancer,FPT Network,load-balancer/chinh-sua-cau-hinh-health-check.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",633,315,50%,4,0
lay-thong-tin-truy-cap-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/lay-thong-tin-truy-cap-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",402,92,77%,7,4
deactive-db-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/deactive-db-service.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",415,105,75%,9,1
active-db-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/active-db-service.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",415,108,74%,9,1
deployment-model,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/deployment-model.md,1,2,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",538,235,56%,8,0
connect-pfsense,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-pfsense.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",739,443,40%,15,9
huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",448,160,64%,9,7
best-practice-upgrade-fke-cluster-version,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/best-practice-upgrade-fke-cluster-version.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",763,478,37%,5,0
huong-dan-tich-hop-oidc-de-quan-ly-account,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-tich-hop-oidc-de-quan-ly-account.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",441,156,65%,14,12
huong-dan-su-dung-applicationset-de-deploy,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-su-dung-applicationset-de-deploy.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",386,103,73%,9,7
tutorials-permissions,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-permissions.md,1,1,0,2,"MISSING_HEADINGS, NO_TABLES",950,668,30%,4,4
guide-harbor,FPT AppSec,FPT Security Platform,fpt-appsec/guide-harbor.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",586,305,48%,17,14
quan-ly-backup-job,Backup,FPT Cloud Backup & DR,backup/quan-ly-backup-job.md,1,0,0,1,MISSING_HEADINGS,1322,1042,21%,3,0
update-cau-hinh-oidc,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/update-cau-hinh-oidc.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",296,17,94%,5,3
maintenance-window,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/maintenance-window.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",732,453,38%,10,2
login-console,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/login-console.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",511,239,53%,6,1
huong-dan-cau-hinh-argocd-cluster-de-deploy-ung-dung-voi-manifes,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-cau-hinh-argocd-cluster-de-deploy-ung-dung-voi-manifes.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",366,95,74%,11,9
cho-phep-enable-applications-set,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cho-phep-enable-applications-set.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",312,43,86%,4,2
huong-dan-deploy-applications-qua-helm-chart-repo,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-deploy-applications-qua-helm-chart-repo.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",378,109,71%,10,8
huong-dan-cau-hinh-auto-scale-su-dung-gpu-custom-metric,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/huong-dan-cau-hinh-auto-scale-su-dung-gpu-custom-metric.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",482,217,55%,5,4
enable-disable-vpn-connection,VPN Site-to-Site,FPT Network,vpn-site-to-site/enable-disable-vpn-connection.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",366,113,69%,12,6
cau-hinh-notifications,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-notifications.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",317,68,79%,2,0
huong-dan-dang-nhap-vao-argocd,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-dang-nhap-vao-argocd.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",302,53,82%,5,3
