lang,file,line,ref,text
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,30,/img/migrated/Screenshot-2023-07-11-at-1.06.36-PM-c1e702aa.png,![File 00-installer-config.yaml mở trong trình soạ
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,38,/img/migrated/Screenshot-2023-07-11-at-1.06.53-PM-68a5c578.png,![Chỉnh sửa thông số IP trong file cấu hình netpla
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,42,/img/migrated/Screenshot-2023-07-11-at-1.07.26-PM-46cc3684.png,![Lưu file cấu hình bằng lệnh :wq trong vi
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,52,/img/migrated/Screenshot-2023-07-11-at-1.10.56-PM-0a072ee4.png,![Kết quả chạy lệnh sudo netplan apply
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,58,/img/migrated/Screenshot-2023-07-11-at-1.12.57-PM-223067ab.png,![Kết quả ifconfig hiển thị IP mới sau khi áp dụng
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,60,/img/migrated/Screenshot-2023-07-11-at-1.13.18-PM-87f0f02a.png,![Xác nhận kết nối với địa chỉ IP tĩnh mới
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,15,/img/migrated/NIC-VM-window-2012-1024x372-cdd0fc49.png,![Thông tin NIC của VM Windows 2012 trên FPT Cloud
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,20,/img/migrated/NIC-VM-window-power-shell-1b543bec.png,![Kết quả lệnh ipconfig trong PowerShell của VM Wi
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,26,/img/migrated/NIC-VM-window-run-ncpa.cpl_-4147bd62.png,![Hộp thoại Run với lệnh ncpa.cpl
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,32,/img/migrated/NIC-VM-window-network-setting-ee7e82cd.png,![Danh sách card mạng với menu chuột phải và tùy c
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,38,/img/migrated/NIC-VM-window-network-setting-config-IPv-ab0305c9.png,![Form cấu hình IPv4 với các thông số IP tĩnh mới
vi,docs-vi/change-network-config/change-static-IP-in-window-server.md,44,/img/migrated/NIC-VM-window-network-setting-config-IPv-9b70a68d.png,![Kết quả kiểm tra IP mới và ping test trong Power
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,15,/img/migrated/NIC-VM-Centos-1024x372-9c72aa69.png,![Thông tin NIC của VM CentOS trên FPT Cloud Porta
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,23,/img/migrated/NIC-VM-CentOS-console-1024x311-3cb187fe.png,![Kết quả lệnh ip a trong Console của VM CentOS
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,33,/img/migrated/Screenshot-2023-07-11-at-1.25.01-PM-ca5cfd61.png,![File ifcfg-eth0 mở trong trình soạn thảo vi
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,40,/img/migrated/NIC-VM-CentOS-console-insert-4b7c2644.png,![Chỉnh sửa thông số IP trong file ifcfg-eth0
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,44,/img/migrated/NIC-VM-CentOS-console-insert-wq-baea240e.png,![Lưu file cấu hình bằng lệnh :wq trong vi
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,54,/img/migrated/Screenshot-2023-07-11-at-1.28.27-PM-418b264e.png,![Kết quả khởi động lại dịch vụ mạng trên CentOS
vi,docs-vi/change-network-config/change-statis-IP-in-CentOS.md,60,/img/migrated/Screenshot-2023-07-11-at-1.28.45-PM-b786390c.png,![Kết quả kiểm tra IP mới và ping test trên CentOS
vi,docs-vi/checkpoint-fpt-ngfw/cau-hinh-dns.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-30-10-a3ec9773.png,![Userguide Checkpoint FPT NGFW 2022 30
vi,docs-vi/checkpoint-fpt-ngfw/cau-hinh-dns.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-31-10-d58edf8e.png,![Userguide Checkpoint FPT NGFW 2022 31
vi,docs-vi/checkpoint-fpt-ngfw/dieu-tra-log.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-76-10-7445b881.png,![Userguide Checkpoint FPT NGFW 2022 76
vi,docs-vi/checkpoint-fpt-ngfw/dieu-tra-log.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-77-10-46378b1b.png,![Userguide Checkpoint FPT NGFW 2022 77
vi,docs-vi/checkpoint-fpt-ngfw/dieu-tra-log.md,16,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-78-10-94855717.png,![Userguide Checkpoint FPT NGFW 2022 78
vi,docs-vi/checkpoint-fpt-ngfw/dieu-tra-log.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-79-10-7128c7c6.png,![Userguide Checkpoint FPT NGFW 2022 79
vi,docs-vi/checkpoint-fpt-ngfw/dieu-tra-log.md,19,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-80-10-1f204297.png,![Userguide Checkpoint FPT NGFW 2022 80
vi,docs-vi/checkpoint-fpt-ngfw/index.md,11,/img/migrated/icon-networking-f57b0b33.png, ![
vi,docs-vi/checkpoint-fpt-ngfw/index.md,12,/img/migrated/question-45cd06af.png, ![
vi,docs-vi/checkpoint-fpt-ngfw/index.md,13,/img/migrated/suggestion-74a9dc8f.png, ![
vi,docs-vi/checkpoint-fpt-ngfw/install-policy.md,13,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-40-10-12fd7fe8.png,![Userguide Checkpoint FPT NGFW 2022 40
vi,docs-vi/checkpoint-fpt-ngfw/install-policy.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-41-ee16a241.png,![Userguide Checkpoint FPT NGFW 2022 41
