section,fileName,in_en,in_vi,in_ja,status
fpt-argocd,nang-goi-dich-vu-dang-su-dung,N,Y,N,MISSING
fpt-argocd,quan-ly-account-tren-argocd,N,Y,N,MISSING
fpt-argocd,quan-ly-container-registry,N,Y,N,MISSING
fpt-argocd,quan-ly-registry-secret,N,Y,N,MISSING
fpt-argocd,quan-ly-secret,N,Y,N,MISSING
fpt-argocd,tao-moi-account-tren-portal,N,Y,N,MISSING
fpt-argocd,tao-moi-fpt-argocd,N,Y,N,MISSING
fpt-argocd,thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao,N,Y,N,MISSING
fpt-argocd,update-cau-hinh-oidc,N,Y,N,MISSING
fpt-argocd,update-oidc-config,Y,N,Y,MISSING
fpt-argocd,upgrade-service-package,Y,N,Y,MISSING
fpt-argocd,xem-thong-tin-chi-tiet-argocd,N,Y,N,MISSING
fpt-autoscale,index,Y,Y,N,MISSING
fpt-backup-as-a-service,index,Y,Y,N,MISSING
fpt-cloud-desktop,index,Y,Y,N,MISSING
fpt-cloud-desktop,overview-fcd,N,N,Y,MISSING
fpt-cloud-monitoring,index,Y,Y,N,MISSING
fpt-cloud-portal,fpt-cloud-portal,N,N,Y,MISSING
fpt-cloud-portal,index,Y,Y,N,MISSING
fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go,choose-the-form-of-PAYG-and-verify-the-phon- number,Y,Y,N,MISSING
fpt-cloud-waf,add-stream-host,N,N,Y,MISSING
fpt-cloud-waf,battat-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,cap-nhat-thong-tin-cho-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,cau-hinh-ket-noi-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,chinh-sua-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,configure-waf-server-connection,Y,N,Y,MISSING
fpt-cloud-waf,create-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,delete-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,delete-waf-server,Y,N,Y,MISSING
fpt-cloud-waf,edit-waf-server,N,N,Y,MISSING
fpt-cloud-waf,enable-disable-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-404-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-access-list,Y,N,Y,MISSING
fpt-cloud-waf,manage-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-redirection-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-security-rule-set,Y,N,N,MISSING
fpt-cloud-waf,manage-security-rule-sets,N,N,Y,MISSING
fpt-cloud-waf,manage-ssl-certificate,Y,N,N,MISSING
fpt-cloud-waf,manage-ssl-certificates,N,N,Y,MISSING
fpt-cloud-waf,manage-stream-host,Y,N,N,MISSING
fpt-cloud-waf,manage-waf-dashboard-users,N,N,Y,MISSING
fpt-cloud-waf,manage-waf-server-with-waf-dashboard,Y,N,N,MISSING
fpt-cloud-waf,monitor-waf-dashboard-overview,N,N,Y,MISSING
fpt-cloud-waf,monitor-waf-server-with-dashboard-overview,Y,N,N,MISSING
fpt-cloud-waf,monitor-waf-voi-dashboard-overview,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-404-host,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-access-list,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-nguoi-dung-cua-waf-dashboard,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-redirection-host,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-security-rule-sets,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-ssl-certificates,N,Y,N,MISSING
fpt-cloud-waf,tao-moi-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,them-moi-stream-host,N,Y,N,MISSING
fpt-cloud-waf,tutorials-add-waf-server,N,N,Y,MISSING
fpt-cloud-waf,tutorials-create-a-new-waf-server,Y,N,N,MISSING
fpt-cloud-waf,tutorials-dang-nhap-waf-dashboard,N,Y,N,MISSING
fpt-cloud-waf,tutorials-log-in-to-waf-dashboard,Y,N,N,MISSING
fpt-cloud-waf,tutorials-log-in-waf-dashboard,N,N,Y,MISSING
fpt-cloud-waf,tutorials-them-moi-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,update-information-of-the-WAF-server,Y,N,N,MISSING
fpt-cloud-waf,update-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,view-proxy-host-detail,Y,N,Y,MISSING
fpt-cloud-waf,xem-thong-tin-chi-tiet-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,xoa-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,xoa-proxy-host,N,Y,N,MISSING
fpt-cloud-wapples,backup-restore,Y,N,Y,MISSING
fpt-cloud-wapples,index,Y,Y,N,MISSING
fpt-cloud-wapples,malicious-ip,N,N,Y,MISSING
fpt-cloud-wapples,user-defined-pattern,N,N,Y,MISSING
fpt-container-registry,Initial Setup,N,N,Y,MISSING
fpt-container-registry,cap-nhat-robot-account,Y,Y,N,MISSING
fpt-container-registry,cau-hinh-lap-lich-chay-retention-rule,Y,Y,N,MISSING
fpt-container-registry,cem-chi-tiet-quota-dich-vu,Y,Y,N,MISSING
fpt-container-registry,deleting-an-image-or-artifact-in-a-repository,Y,N,N,MISSING
fpt-container-registry,disable-robot-account-dang-su-dung,Y,Y,N,MISSING
fpt-container-registry,docker-cli,Y,N,N,MISSING
fpt-container-registry,enable-robot-account,Y,Y,N,MISSING
fpt-container-registry,enabling-fpt-container-registry-service,Y,N,Y,MISSING
fpt-container-registry,huong-dan-nang-goi-dich-vu-dang-su-dung,Y,Y,N,MISSING
fpt-container-registry,huong-dan-su-dung-robot-account,Y,Y,N,MISSING
fpt-container-registry,huong-dan-su-dung-tren-docker-cli,N,Y,N,MISSING
fpt-container-registry,initial-setup,Y,Y,N,MISSING
fpt-container-registry,kich-hoat-dich-vu,Y,Y,N,MISSING
fpt-container-registry,kiem-tra-thong-tin-goi-dich-vu,Y,Y,N,MISSING
fpt-container-registry,managing-repositories,N,N,Y,MISSING
fpt-container-registry,managing-repositories-on-the-fpt-cloud-portal,Y,N,N,MISSING
fpt-container-registry,pull-docker-image-tu-fpt-container-registry-ve-local,Y,Y,N,MISSING
fpt-container-registry,pulling-docker-image,N,N,Y,MISSING
fpt-container-registry,pulling-docker-image-from-fpt-container-registry-to-local,Y,N,N,MISSING
fpt-container-registry,quan-ly-goi-dich-vu,N,Y,N,MISSING
fpt-container-registry,quan-ly-ket-qua-scan-images,Y,Y,N,MISSING
fpt-container-registry,quan-ly-repositories-tren-fpt-portal,N,Y,N,MISSING
fpt-container-registry,quan-ly-retention-rule,Y,Y,N,MISSING
fpt-container-registry,quan-ly-retention-run,Y,Y,N,MISSING
fpt-container-registry,quan-ly-robot-account,N,Y,N,MISSING
fpt-container-registry,quan-ly-tag-retention-rule,Y,Y,N,MISSING
fpt-container-registry,retention-rule,N,N,Y,MISSING
fpt-container-registry,robot-account,N,N,Y,MISSING
fpt-container-registry,scan-image,N,Y,Y,MISSING
fpt-container-registry,scan-image-1,N,Y,N,MISSING
fpt-container-registry,stop-scan,Y,Y,N,MISSING
fpt-container-registry,tag-va-push-image-len-fpt-container-registry,Y,Y,N,MISSING
fpt-container-registry,tagging-and-pushing-images,N,N,Y,MISSING
fpt-container-registry,tagging-and-pushing-images-to-fpt-container-registry,Y,N,N,MISSING
fpt-container-registry,tao-moi-robot-account,N,Y,N,MISSING
fpt-container-registry,them-moi-tag-retention-rule,Y,Y,N,MISSING
fpt-container-registry,view-repositories-list,Y,N,N,MISSING
fpt-container-registry,xem-danh-sach-repositories,N,Y,N,MISSING
fpt-container-registry,xem-danh-sach-robot-account,N,Y,N,MISSING
fpt-container-registry,xoa-image-hoac-artifact-trong-repositories,Y,Y,N,MISSING
fpt-container-registry,xoa-mot-robot-account,Y,Y,N,MISSING
fpt-event-gateway,quan-ly-router,Y,N,Y,MISSING
fpt-event-gateway,quan-ly-router-group,Y,N,Y,MISSING
fpt-event-gateway,quan-ly-security,Y,N,Y,MISSING
fpt-jenkins-ci,index,Y,Y,N,MISSING
fpt-jenkins-ci,quan-ly-cau-hinh,Y,N,Y,MISSING
fpt-kafka,fpt-kafka,N,N,Y,MISSING
fpt-kafka,index,Y,Y,N,MISSING
fpt-key-vault,Auth-Method-Management,Y,N,N,MISSING
fpt-key-vault,Create-Auth-Method,Y,N,N,MISSING
fpt-key-vault,Create-Policy,Y,N,N,MISSING
fpt-key-vault,Create-Role,Y,N,N,MISSING
fpt-key-vault,Create-Secret-Engine,Y,N,N,MISSING
fpt-key-vault,Create-Secret-in-Secret-Engine,Y,N,N,MISSING
fpt-key-vault,Create-Vault-Instance,Y,N,N,MISSING
fpt-key-vault,Delete-Policy,Y,N,N,MISSING
fpt-key-vault,Delete-Secret,Y,N,N,MISSING
fpt-key-vault,Delete-Secret-Engine,Y,N,N,MISSING
fpt-key-vault,Policy-management,Y,N,N,MISSING
fpt-key-vault,Secret-Engine-Management,Y,N,N,MISSING
fpt-key-vault,Secret-management,Y,N,N,MISSING
fpt-key-vault,View-and-Update-Secret-information,Y,N,N,MISSING
fpt-key-vault,auth-method-management,N,N,Y,MISSING
fpt-key-vault,create-auth-method,N,N,Y,MISSING
fpt-key-vault,create-policy,N,N,Y,MISSING
fpt-key-vault,create-role,N,N,Y,MISSING
fpt-key-vault,create-secret,N,N,Y,MISSING
fpt-key-vault,create-secret-engine,N,N,Y,MISSING
fpt-key-vault,create-vault-instance,N,N,Y,MISSING
fpt-key-vault,delete-policy,N,N,Y,MISSING
fpt-key-vault,delete-secret,N,N,Y,MISSING
fpt-key-vault,delete-secret-engine,N,N,Y,MISSING
fpt-key-vault,policy-management,N,N,Y,MISSING
fpt-key-vault,secret-engine-management,N,N,Y,MISSING
fpt-key-vault,secret-management,N,N,Y,MISSING
fpt-key-vault,tutorials-khoi-tao-vault-instance,Y,Y,N,MISSING
fpt-key-vault,tutorials-tao-auth-method,Y,Y,N,MISSING
fpt-key-vault,tutorials-tao-policy,Y,Y,N,MISSING
fpt-key-vault,tutorials-tao-role,Y,Y,N,MISSING
fpt-key-vault,tutorials-tao-secret-engine,Y,Y,N,MISSING
